nni,南宁,NNZ,nanning,nn,56
bha,北海,BHZ,beihai,bh,87
bse,百色,BIZ,baise,bs,93
czu,崇左,CZZ,chongzuo,cz,124
glb,桂林北,GBZ,guilinbei,glb,166
gli,桂林,GLZ,guilin,gl,168
hzh,贺州,HXZ,hezhou,hz,211
jcj,金城江,JJZ,jinchengjiang,jcj,218
lch,陆川,LKZ,luchuan,lc,256
lzh,柳州,LZZ,liuzhou,lz,293
nda,南丹,NDZ,nandan,nd,314
pxi,凭祥,PXZ,pingxiang,px,331
ran,融安,RAZ,rongan,ra,347
wzh,梧州,WZZ,wuzhou,wz,427
yli,玉林,YLZ,yulin,yl,477
bli,北流,BOZ,beiliu,bl,588
cxi,岑溪,CNZ,cenxi,cx,671
fsu,扶绥,FSZ,fusui,fs,838
gga,贵港,GGZ,guigang,gg,869
lbi,来宾,UBZ,laibin,lb,1141
lta,黎塘,LTZ,litang,lt,1227
ltu,濑湍,LVZ,laituan,lt,1231
lzh,鹿寨,LIZ,luzhai,lz,1263
nmi,宁明,NMZ,ningming,nm,1345
pgu,平果,PGZ,pingguo,pg,1380
qji,渠旧,QJZ,qujiu,qj,1432
qli,渠黎,QLZ,quli,ql,1441
qzd,钦州东,QDZ,qinzhoudong,qzd,1470
qzh,钦州,QRZ,qinzhou,qz,1471
rsh,融水,RSZ,rongshui,rs,1480
rxi,容县,RXZ,rongxian,rx,1482
sjx,三江县,SOZ,sanjiangxian,sjx,1546
tdo,田东,TDZ,tiandong,td,1651
tli,田林,TFZ,tianlin,tl,1670
tli,亭亮,TIZ,tingliang,tl,1671
tya,田阳,TRZ,tianyang,ty,1696
wdi,文地,WNZ,wendi,wd,1721
xan,兴安,XAZ,xingan,xa,1791
xsh,夏石,XIZ,xiashi,xs,1874
xye,兴业,SNZ,xingye,xy,1900
yzh,宜州,YSZ,yizhou,yz,2035
zsh,钟山,ZSZ,zhongshan,zs,2092
bba,博白,BBZ,bobai,bb,2125
bya,宾阳,UKZ,binyang,by,2141
dba,德保,RBZ,debao,db,2167
fcb,防城港北,FBZ,fangchenggangbei,fcgb,2200
fch,富川,FDZ,fuchuan,fc,2202
gch,恭城,GCZ,gongcheng,gc,2221
glx,桂林西,GEZ,guilinxi,glx,2228
gpi,桂平,GAZ,guiping,gp,2233
hpu,合浦,HVZ,hepu,hp,2273
jxi,靖西,JMZ,jingxi,jx,2310
lad,隆安东,IDZ,longandong,lad,2325
lbb,来宾北,UCZ,laibinbei,lbb,2326
lch,罗城,VCZ,luocheng,lc,2332
lji,柳江,UQZ,liujiang,lj,2348
lzb,鹿寨北,LSZ,luzhaibei,lzb,2367
nnd,南宁东,NFZ,nanningdong,nnd,2405
nnx,南宁西,NXZ,nanningxi,nnx,2406
pnn,平南南,PAZ,pingnannan,pn,2421
qzn,全州南,QNZ,quanzhounan,qzn,2447
sjn,三江南,SWZ,sanjiangnan,sjn,2465
tdb,田东北,TBZ,tiandongbei,tdb,2502
txi,藤县,TAZ,tengxian,tx,2517
wzn,梧州南,WBZ,wuzhounan,wzn,2539
xab,兴安北,XDZ,xinganbei,xab,2540
yfn,永福南,YBZ,yongfunan,yfn,2581
ysh,阳朔,YCZ,yangshuo,ys,2596
zsx,钟山西,ZAZ,zhongshanxi,zsx,2628
